ID_EMPLEADO;NOMBRES;APELLIDOS;TELEFONO;DIRECCION;ESTADO;FECHA_INGRESO;FECHA_CESE;FECHA_REGISTRO;ID_CARGO;ID_SEDE;ID_JEFE;ID_UBIGEO
1;Maxwell;Stevenson;458-378-326;Ap #603-2431 Aenean Road;Y;28/07/20;23/07/19;31/08/20;1;1;1;021403
2;Cedric;Delgado;279-552-450;504-7749 Morbi St.;Y;07/11/19;22/02/21;28/11/20;1;2;2;151029
3;Jade;Bishop;400-129-198;572-5381 Scelerisque, Ave;Y;16/02/21;21/12/19;30/05/19;1;3;3;101005
4;Abraham;Barrett;901-681-609;250-810 Vel Street;Y;19/11/20;27/11/19;08/04/19;1;4;4;220406
5;Noelle;Dunlap;569-602-411;Ap #459-123 Elit. Rd.;Y;22/12/20;02/07/19;20/02/20;1;5;5;150727
6;Halee;Jacobson;704-735-223;5809 Donec Rd.;Y;05/09/20;18/01/21;18/09/20;1;6;6;150805
7;Yoshio;Graham;165-265-191;Ap #445-7962 Nunc St.;Y;21/07/19;26/04/20;10/03/20;1;7;7;120428
8;Catherine;Roberson;722-295-176;Ap #763-8150 Ullamcorper, St.;Y;20/08/19;04/01/20;28/02/21;2;2;2;090404
9;Reuben;Hartman;427-151-587;Ap #272-6755 Massa. St.;Y;27/03/19;05/06/20;03/11/20;2;3;3;120418
10;Octavia;Buchanan;898-348-384;430-9012 Amet, Rd.;Y;19/04/19;19/08/20;31/05/20;2;4;4;150905
11;Lester;Burton;627-600-981;727-5966 Nunc Ave;Y;14/04/19;06/09/19;03/04/20;2;6;6;060506
12;Hermione;Webb;710-590-217;Ap #285-8512 Libero Avenue;Y;21/01/20;01/10/20;02/01/20;2;6;6;211302
13;Clio;Valenzuela;358-869-720;1926 Egestas Road;Y;15/10/19;23/07/19;26/10/20;3;3;3;130105
14;Britanney;Lancaster;299-820-520;Ap #286-9912 Purus St.;Y;20/12/20;16/01/20;30/10/20;3;6;6;150138
15;Ciara;Nieves;956-856-324;828-8283 Mattis. Rd.;Y;08/08/20;14/10/19;06/05/20;4;1;1;050702
16;Thomas;Butler;108-810-756;4249 Eleifend Street;Y;10/06/20;27/02/21;09/03/20;4;2;2;120209
17;Hall;Klein;956-584-794;Ap #998-2638 Feugiat Avenue;Y;04/08/19;21/02/20;14/08/19;4;3;3;150404
18;Cadman;Avery;739-322-150;7739 Felis Ave;Y;30/03/19;13/08/20;11/04/19;4;4;4;140115
19;Brynne;Mercado;319-346-385;5505 Odio. St.;Y;29/10/20;26/09/19;15/09/19;4;6;6;090411
20;Kareem;Hickman;313-130-382;Ap #814-3987 Nisl Road;Y;24/10/20;10/02/20;19/07/19;4;6;6;050410
21;Leah;Talley;575-704-976;P.O. Box 119, 9418 Nascetur Rd.;Y;25/12/19;03/07/19;28/08/19;5;1;1;200107
22;Helen;Moses;237-102-272;Ap #150-8840 Magna. Rd.;Y;10/04/19;26/03/19;16/05/19;5;2;2;120402
23;Sebastian;West;936-556-811;9982 Porttitor Rd.;Y;16/01/20;03/06/20;13/03/19;5;5;5;050302
24;Zenaida;Lyons;366-675-318;3763 Eget Rd.;Y;01/01/21;20/12/19;11/11/19;5;6;6;090601
25;Odette;Cohen;182-831-649;4432 Mauris. Ave;Y;21/02/20;26/07/19;14/02/20;5;6;6;110503
26;Ava;Stuart;331-663-353;Ap #798-4889 Mollis. Ave;Y;19/02/20;29/02/20;25/01/21;5;7;7;080507
